id,user_id,category,title,description,year,proof_type,proof_value,status,created_at
2c72eddd-db51-4560-a09f-c5bef7d83ccd,6293d6e7-7d3e-4540-9f1d-794948f7dd5e,olympiad,"Победитель олимпиады по математике","Занял первое место на региональной олимпиаде по математике. Решил все задачи в отведённое время.",2024,none,NULL,verified,2026-02-17 06:58:59
713142be-3223-45f0-be38-bd11176c3e54,c785a56c-84a7-425d-b7ae-2f997ed4f026,olympiad,"Призёр всероссийской олимпиады по физике","Получил диплом второй степени на всероссийском уровне. Прошёл отбор из более чем 500 участников.",2025,link,"https://example.com/proof/83nddl6f",verified,2025-11-17 06:58:59
d1695e1c-8f06-424d-8c30-5fd80fe0bc60,67084f6a-d962-48b5-88a3-824e55dbfad0,olympiad,"Победитель олимпиады по информатике","Занял первое место на городской олимпиаде по информатике и программированию.",2024,none,NULL,verified,2026-03-20 04:53:25
f1f9b4af-2255-4dbf-a532-2d4ec11ed3e0,25a736a7-a435-4138-bd1d-50f47492ee31,olympiad,"Призёр олимпиады по химии","Получил диплом призёра на региональном этапе всероссийской олимпиады по химии.",2022,photo,"https://example.com/photos/gpvp4bsn.jpg",verified,2025-12-10 23:04:37
53dce1ee-cb5f-43a4-8cc0-f1a0ffbb1f8d,30b248ba-8471-4ab4-95ee-c4b831a8f27a,olympiad,"Участник международной олимпиады по биологии","Прошёл отбор на международную олимпиаду и представил страну в командном туре.",2024,none,NULL,verified,2025-12-15 16:56:26
88dece4b-f996-4a2d-ba9e-893526b02263,b4eb03a1-f303-40f0-9099-c2b013035e46,olympiad,"Победитель олимпиады по истории","Занял первое место на муниципальной олимпиаде по истории среди 10-11 классов.",2022,link,"https://example.com/proof/dfjkmnfh",verified,2026-04-09 00:43:05
ac3eab87-ec4e-4f4b-a578-775838c88efb,b4eb03a1-f303-40f0-9099-c2b013035e46,olympiad,"Призёр олимпиады по русскому языку","Получил диплом второй степени на региональном этапе олимпиады по русскому языку.",2022,photo,"https://example.com/photos/mmyuh1hz.jpg",verified,2026-03-26 04:45:54
60bf83d8-542a-47a0-8bf5-8c41ce8ff1c3,11323a38-9782-472c-81d9-e55808938089,olympiad,"Победитель олимпиады по английскому языку","Занял первое место в категории "письмо и эссе" на городской олимпиаде по английскому.",2025,none,NULL,verified,2026-03-18 15:01:21
bec64d1d-b5f7-400e-832a-d2825a4985bb,67084f6a-d962-48b5-88a3-824e55dbfad0,olympiad,"Участник олимпиады по астрономии","Прошёл в заключительный этап всероссийской олимпиады по астрономии.",2024,photo,"https://example.com/photos/y7sdg6sg.jpg",verified,2025-11-24 17:18:55
2b866ad6-d6df-4e1d-a1c4-27097c6ecf92,0138ebef-ee40-4f1c-8694-54fae360ec35,olympiad,"Призёр олимпиады по экономике","Занял третье место в региональной олимпиаде по экономике и предпринимательству.",2022,none,NULL,verified,2025-12-30 22:09:07
